,Sample,species,site,type,lat,illumina_run,otu_diversity,C1.I,B1.I,C1.II,C1.III,D1a,B1.II,G3,A4a,B.BG,C3
p161pm,p161pm,pstr,Placencia 2,2-Mod,3-Placencia,1,3,2,21731,0,0,105,0,0,0,0,0
p163pm,p163pm,pstr,Placencia 2,2-Mod,3-Placencia,1,4,847,12408,0,197,1,0,0,0,0,0
p164pm,p164pm,pstr,Placencia 2,2-Mod,3-Placencia,1,4,12657,8529,4,1621,0,0,0,0,0,0
p165pm,p165pm,pstr,Placencia 2,2-Mod,3-Placencia,1,4,160,8425,1,560,0,0,0,0,0,0
p167pm,p167pm,pstr,Placencia 2,2-Mod,3-Placencia,1,4,3,5,0,2,1,0,0,0,0,0
p169pm,p169pm,pstr,Placencia 2,2-Mod,3-Placencia,1,4,5553,3,0,29764,1,0,0,0,0,0
p203pe,p203pe,pstr,Placencia 3,3-High,3-Placencia,1,6,29843,24,13,499,21,0,0,1,0,0
p204pe,p204pe,pstr,Placencia 3,3-High,3-Placencia,1,5,283,14074,19,41,0,0,0,0,2,0
p205pe,p205pe,pstr,Placencia 3,3-High,3-Placencia,1,4,1201,12900,176,1272,0,0,0,0,0,0
p206pe,p206pe,pstr,Placencia 3,3-High,3-Placencia,1,6,552,15314,6,427,1,0,0,0,2758,0
p210pe,p210pe,pstr,Placencia 3,3-High,3-Placencia,1,7,2757,7997,66437,156,691,9,0,694,0,0
p312sm,p312sm,pstr,Sapodilla 2,2-Mod,4-Sapodilla,1,6,26703,1857,12,723,6474,110,0,0,0,0
p313sm,p313sm,pstr,Sapodilla 2,2-Mod,4-Sapodilla,1,5,17662,98,1,479,1607,0,0,0,0,0
p315sm,p315sm,pstr,Sapodilla 2,2-Mod,4-Sapodilla,1,5,2571,43,0,92,592,11,0,0,0,0
p316sm,p316sm,pstr,Sapodilla 2,2-Mod,4-Sapodilla,1,3,29,5825,0,6,0,0,0,0,0,0
p317sm,p317sm,pstr,Sapodilla 2,2-Mod,4-Sapodilla,1,5,1356,23621,33,51,0,1,0,0,0,0
p319sm,p319sm,pstr,Sapodilla 2,2-Mod,4-Sapodilla,1,3,37,18039,0,0,0,1,0,0,0,0
p81pl,p81pl,pstr,Placencia 1,1-Low,3-Placencia,1,6,1907,36,107514,5,0,2,0,30,0,0
p84pl,p84pl,pstr,Placencia 1,1-Low,3-Placencia,1,8,8766,27,89710,152,36,1,0,18,1,0
p85pl,p85pl,pstr,Placencia 1,1-Low,3-Placencia,1,4,3,4756,0,0,0,1,3,0,0,0
p86pl,p86pl,pstr,Placencia 1,1-Low,3-Placencia,1,5,627,34,24248,2,0,4,0,0,0,0
p89pl,p89pl,pstr,Placencia 1,1-Low,3-Placencia,1,3,2,56372,0,0,0,1,0,0,0,0
r101pl,r101pl,srad,Placencia 1,1-Low,3-Placencia,1,6,18,49683,4,11,7,55,0,0,0,0
r104pl,r104pl,srad,Placencia 1,1-Low,3-Placencia,1,5,13,16548,24,6,0,9457,0,0,0,0
r105pl,r105pl,srad,Placencia 1,1-Low,3-Placencia,1,6,6,93985,13,4,0,2,0,0,0,1143
r107pl,r107pl,srad,Placencia 1,1-Low,3-Placencia,1,6,4,63865,9,4,33,1,0,0,0,0
r108pl,r108pl,srad,Placencia 1,1-Low,3-Placencia,1,6,10654,18,14,13380,6,0,0,281,0,0
r109pl,r109pl,srad,Placencia 1,1-Low,3-Placencia,1,5,19234,8,1,384,6,0,0,0,0,0
r110pl,r110pl,srad,Placencia 1,1-Low,3-Placencia,1,4,14255,1,0,308,6,0,0,0,0,0
r191pm,r191pm,srad,Placencia 2,2-Mod,3-Placencia,1,6,199,21141,8,25,3,12,0,0,0,0
r192pm,r192pm,srad,Placencia 2,2-Mod,3-Placencia,1,5,118,24108,1,42,0,10,0,0,0,0
r193pm,r193pm,srad,Placencia 2,2-Mod,3-Placencia,1,5,672,41,16954,89,1,0,0,0,0,0
r194pm,r194pm,srad,Placencia 2,2-Mod,3-Placencia,1,6,381,33498,85,12,0,11,0,8,0,0
r197pm,r197pm,srad,Placencia 2,2-Mod,3-Placencia,1,4,43,20839,7,0,0,19,0,0,0,0
r198pm,r198pm,srad,Placencia 2,2-Mod,3-Placencia,1,5,433,2943,17804,25,0,1,0,0,0,0
r199pm,r199pm,srad,Placencia 2,2-Mod,3-Placencia,1,6,1052,16676,64,78,192,6,0,0,0,0
r221pe,r221pe,srad,Placencia 3,3-High,3-Placencia,1,7,635,35196,8,16,222,17,0,0,1,0
r223pe,r223pe,srad,Placencia 3,3-High,3-Placencia,1,5,17704,16,1,321,16,0,0,0,0,0
